DATE,Y,G,T,GSHK_R,T90_MMO,TFPSHK_FRBNY_P,TBILL3
1947-01-01,,,,,0,,0.38
1947-04-01,,,,3.208,0,,0.38
1947-07-01,,,,0,0,,0.736666666666667
1947-10-01,,,,0,0,,0.906666666666667
1948-01-01,20.3522549390523,1.94560510143745,3.33204023277673,0.693,0,,0.99
1948-04-01,20.5906347593264,2.00921087526809,3.1648847997644,1.317,-2.06,,1
1948-07-01,20.6612348181661,2.03504282772051,3.02666369650069,0,0,,1.05
1948-10-01,20.7241121104311,2.1211912181504,3.0007095281152,0,0,,1.14
1949-01-01,20.3576537583737,2.23564052182867,2.90189100846635,0,0,,1.17
1949-04-01,20.1673356812452,2.31842620948728,2.76427740361945,0,0,,1.17
1949-07-01,20.3686144809707,2.27644830219717,2.73920172756184,0,0,,1.04333333333333
1949-10-01,20.143558151442,2.21832236848844,2.63518831692922,-0.733,0,,1.07666666666667
1950-01-01,20.900333988528,2.12129458216898,3.0368006649998,0,0,,1.10333333333333
1950-04-01,21.4654464108352,2.13619628537582,3.3188655091133,2.742,0,,1.15333333333333
1950-07-01,22.2685353916114,2.05200001661831,3.69938031164991,61.78,0,,1.22
1950-10-01,22.8082287925681,2.26727626009273,3.98555795406238,40.24,0,,1.33666666666667
1951-01-01,23.2363456656153,2.73856931059038,4.41213944484005,1.281,0,,1.36666666666667
1951-04-01,23.7015038256335,3.20979389210846,4.18788559313722,0,0,,1.49
1951-07-01,24.1178662994789,3.72680745606632,4.11801928847108,0,0,,1.60333333333333
1951-10-01,24.0834669951478,4.00940368560433,4.30689738234395,0,0,,1.61
1952-01-01,24.2705848855465,4.10805619658084,4.31042349690502,-0.14,0,,1.56666666666667
1952-04-01,24.2240484793757,4.30127841420494,4.29456815146827,-1.278,0,,1.64666666666667
1952-07-01,24.4108923617309,4.39489005805436,4.27539153683838,0.222,0,,1.78333333333333
1952-10-01,25.1066050482274,4.4899154511142,4.45035672467266,0,0,,1.89333333333333
1953-01-01,25.324222892803,4.54922251450611,4.51658820665456,-1.969,0,,1.98
1953-04-01,25.4498310261815,4.67803889171577,4.52210426199192,-1.134,0,,2.15333333333333
1953-07-01,25.2668239420102,4.52115970332494,4.42427770968226,-2.987,0,,1.95666666666667
1953-10-01,24.7729152643032,4.46040831831367,4.06891924289333,-0.256,0,,1.47333333333333
1954-01-01,24.5391367439945,4.24801562632867,3.86588528512969,0,0,,1.06
1954-04-01,24.4764131038705,4.03819610131197,3.85435357864628,0,0,,0.79
1954-07-01,24.7482306898074,3.88629504949917,3.89262452026383,-1.295,0,,0.883333333333333
1954-10-01,25.1863587646217,3.85640519488329,4.00763677115322,0,0,,1.02
1955-01-01,25.8511370962453,3.79850888826455,4.23029984920402,1.226,0,,1.22333333333333
1955-04-01,26.1333237962374,3.76964670655097,4.30905338988968,0,0,,1.48333333333333
1955-07-01,26.4066474599044,3.79956178002808,4.3642785550888,0,0,,1.85666666666667
1955-10-01,26.5808673808805,3.68519918389695,4.42102278332192,0,0,,2.33666666666667
1956-01-01,26.4069125453644,3.66345614115813,4.3841360377794,0.206,0,,2.32666666666667
1956-04-01,26.4606209256189,3.76737540084484,4.41405873736781,0.136,0,,2.56666666666667
1956-07-01,26.4008763124913,3.67459005413221,4.34163347160207,0.673,0,,2.58333333333333
1956-10-01,26.7032969640498,3.78079253432366,4.46504639789758,0.111,0,,3.03333333333333
1957-01-01,26.8647748024999,3.88275480862014,4.51749086717218,0,0,,3.09666666666667
1957-04-01,26.722790041418,3.82158544024516,4.44436232680364,0.511,0,,3.14
1957-07-01,26.8482885355501,3.82987056482091,4.38419393604499,0,0,,3.35333333333333
1957-10-01,26.334064902048,3.8816267490911,4.19215688901838,2.148,0,,3.31
1958-01-01,25.6239668507917,3.76548988802008,3.94636494814332,0.147,0,,1.75666666666667
1958-04-01,25.6932091517826,3.89208570837385,3.91385961443468,0,0,,0.956666666666667
1958-07-01,26.3079866502149,3.89366867054436,4.08320747926349,0,0,,1.68
1958-10-01,26.9186642537811,3.98176398789917,4.26194223873917,0,0,,2.69
1959-01-01,27.2642895985037,3.86818453249396,4.4452065345787,0.3,0,,2.77333333333333
1959-04-01,27.743874834091,3.90654139619111,4.60717110311669,0,0,,3
1959-07-01,27.6500818776682,3.92367828549768,4.46087987626381,0,0,,3.54
1959-10-01,27.6437929491246,3.85946257973022,4.43472122982551,0,0,,4.23
1960-01-01,28.131078072028,3.68099252324731,4.7852902802215,0,0,0.021504692,3.87333333333333
1960-04-01,27.8749391994739,3.66273919253852,4.68274251197962,0.534,0,0.190616562,2.99333333333333
1960-07-01,27.8960502648131,3.79378102941557,4.62207284446317,0,0,-0.137374978,2.36
1960-10-01,27.4029734227869,3.81977767259507,4.51981660860851,0,0,-0.001598608,2.30666666666667
1961-01-01,27.5130476030129,3.80134400826948,4.51314946001716,1.425,0,-0.002184061,2.35
1961-04-01,27.8979375064344,3.82686379476201,4.59524983229297,5.706,0,0.092653539,2.30333333333333
1961-07-01,28.3641209908992,3.90212761914607,4.65657226766215,0.63,0,-0.039034816,2.30333333333333
1961-10-01,28.8956439148572,3.97651041818307,4.797692169122,-0.176,0,0.21034812,2.46
1962-01-01,29.3693979290829,4.11863779039159,4.83062319473299,0.344,0,-0.018637425,2.72333333333333
1962-04-01,29.4948348211976,4.13143838851219,4.86831800596383,0,0,0.093802595,2.71666666666667
1962-07-01,29.7109885977168,4.24442694253098,4.9518314329528,0,0,0.00315887,2.84
1962-10-01,29.6334005699689,4.23956539266581,4.97519774390463,0,0,0.115840692,2.81333333333333
1963-01-01,29.794702280523,4.13109753350665,5.05124918830164,0,0,-0.059269949,2.90666666666667
1963-04-01,30.0265151578359,4.09062400848256,5.1299667052765,0,0,-0.00373743,2.94
1963-07-01,30.5627902968267,4.26380330180745,5.15545516024994,-1.127,0,0.130375572,3.29333333333333
1963-10-01,30.6827639944733,4.2089676254844,5.16149876034877,0,0,-0.112503237,3.49666666666667
1964-01-01,31.1797457786567,4.19422976210357,5.00421420006807,-0.703,0,0.169719256,3.53
1964-04-01,31.3759834496204,4.16528084398231,4.79400248080983,0,-2.11,0.109236202,3.47666666666667
1964-07-01,31.6967691096656,4.15905583115265,4.86902681554545,0,0,0.014736094,3.49666666666667
1964-10-01,31.6637224150065,4.08681344808631,4.89509433004116,0,0,-0.118259355,3.68333333333333
1965-01-01,32.3188547484508,4.0297262468464,5.15534810350741,0.315,0,0.151943207,3.89
1965-04-01,32.5910226109891,4.02143404170107,5.17742895490926,0.195,0,-0.041747535,3.87333333333333
1965-07-01,33.1829270921714,4.18495477140023,5.07065948492409,1.917,0,0.043565633,3.86666666666667
